6.900000000000000355e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.999999999999999889e-01,0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,4.099999999999999645e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.299999999999999822e+00,2.999999999999999889e-01,5.000000000000000000e-01,1.000000000000000056e-01
5.999999999999999778e-01,0.000000000000000000e+00,4.599999999999999645e+00,1.000000000000000056e-01,5.999999999999999778e-01,1.000000000000000056e-01,2.000000000000000111e-01,4.000000000000000222e-01,0.000000000000000000e+00,6.999999999999999556e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,9.500000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,7.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,9.000000000000000222e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.500000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,2.700000000000000178e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000355e+00,1.000000000000000056e-01,4.000000000000000222e-01,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,6.200000000000000178e+00,1.000000000000000056e-01,1.300000000000000044e+00
0.000000000000000000e+00,1.000000000000000056e-01,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,2.000000000000000111e-01,6.799999999999999822e+00,1.000000000000000056e-01
5.999999999999999778e-01,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,9.000000000000000222e-01,1.000000000000000056e-01,2.999999999999999889e-01,1.199999999999999956e+00,1.000000000000000056e-01,5.099999999999999645e+00
